belnr,line_count,bukrs,gjahr,usnam,blart,budat,dmbtr_sum,dmbtr_max,vendor_group,ae_error_max,risk_score_max,risk_level,reason,action
100000005,8,C001,2022,1,0,2022-02-07,35072.0,6912.0,벤더 거래,214.83911,78,고위험,업무 프로세스와 문서유형 조합이 전례 없음 | 동일 문서유형 내 금액이 평균 대비 유의미한 이상 (z=3.2),해당 전표의 승인 권한 및 프로세스 경로 확인 필요 / 유사 거래 대비 금액 적정성 검토 필요
1900000002,18,USA1,2022,18,5,2022-02-07,34620.0,9040.0,벤더 없는 거래 유형,3.1094675,77,고위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=5.9) | 현지통화와 문서통화 금액 차이 발생 (차이: 1,040) | 해당 사용자의 평소 전기 패턴에서 5.5σ 이탈",유사 거래 대비 금액 적정성 검토 필요 / 환율 적용 기준 및 환차손익 처리 적정성 확인 필요 / 해당 사용자의 접근 권한 및 해당 시간대 업무 필요성 확인 필요
9200000000,2,USA1,2022,18,0,2022-02-07,800.0,400.0,벤더 거래,238.26782,75,고위험,업무 프로세스와 문서유형 조합이 전례 없음 | 해당 사용자의 평소 전기 패턴에서 3.6σ 이탈,해당 전표의 승인 권한 및 프로세스 경로 확인 필요 / 해당 사용자의 접근 권한 및 해당 시간대 업무 필요성 확인 필요
1600000001,4,C005,2022,1,1,2022-02-02,1187.88,296.97,벤더 없는 거래 유형,222.5887,70,고위험,업무 프로세스와 문서유형 조합이 전례 없음,해당 전표의 승인 권한 및 프로세스 경로 확인 필요
1600000000,4,C005,2022,1,1,2022-02-02,672.0,168.0,벤더 없는 거래 유형,216.80782,70,고위험,업무 프로세스와 문서유형 조합이 전례 없음,해당 전표의 승인 권한 및 프로세스 경로 확인 필요
100000008,8,C001,2022,1,0,2022-02-14,11824.0,3456.0,벤더 없는 거래 유형,213.8412,70,고위험,업무 프로세스와 문서유형 조합이 전례 없음,해당 전표의 승인 권한 및 프로세스 경로 확인 필요
90000269,8,C001,2022,2,9,2022-03-15,1430000.0,325000.0,벤더 없는 거래 유형,5.204126,70,고위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=85.6) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
90000462,11,C001,2022,17,9,2022-03-10,146664.0,28353.6,벤더 없는 거래 유형,3.5352285,70,고위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=6.8) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
5000015259,2,EU01,2018,4,12,2018-04-16,14144382000.0,7072191000.0,벤더 거래,3.188343,70,고위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=31.8) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
4900000577,4,C001,2022,17,13,2022-03-18,400000.0,100000.0,벤더 없는 거래 유형,1.9583098,70,고위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=41.7) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
4900000578,4,C001,2022,17,13,2022-03-18,400000.0,100000.0,벤더 없는 거래 유형,1.9583098,70,고위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=41.7) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
4900000579,4,C001,2022,17,13,2022-03-18,400000.0,100000.0,벤더 없는 거래 유형,1.9583098,70,고위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=41.7) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
4900000584,4,C001,2022,17,13,2022-03-19,160000.0,40000.0,벤더 없는 거래 유형,1.3811582,69,중위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=16.6) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
4900000071,2,USA1,2020,11,11,2020-03-07,2000.0,1000.0,벤더 없는 거래 유형,352.35983,65,중위험,"문서일자가 전기일보다 730일 앞선 역전 발생 | 금액이 1,000 단위 정수 (비정상 반올림 의심)",회계 기간 소급 전기 여부 확인 필요 (backdating 의심) / 실제 청구서/계약서 금액과 대조 필요
4900000074,2,USA1,2020,11,13,2020-04-06,2000.0,1000.0,벤더 없는 거래 유형,326.58636,65,중위험,"문서일자가 전기일보다 700일 앞선 역전 발생 | 금액이 1,000 단위 정수 (비정상 반올림 의심)",회계 기간 소급 전기 여부 확인 필요 (backdating 의심) / 실제 청구서/계약서 금액과 대조 필요
4900000160,11,USA1,2022,4,11,2022-04-02,238887531233.56,98979205395.78,벤더 없는 거래 유형,32.448616,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=17.0),유사 거래 대비 금액 적정성 검토 필요
4900000098,8,EU01,2022,4,11,2022-04-02,264763870380.0,76290857020.0,벤더 없는 거래 유형,18.605627,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=13.1),유사 거래 대비 금액 적정성 검토 필요
4900000097,8,EU01,2022,4,11,2022-04-02,316108939040.0,76266408750.0,벤더 없는 거래 유형,18.59002,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=13.1),유사 거래 대비 금액 적정성 검토 필요
4900000156,9,USA1,2022,4,11,2022-04-02,209316226705.1,95234187535.55,벤더 없는 거래 유형,16.186716,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=16.4),유사 거래 대비 금액 적정성 검토 필요
90000589,17,C001,2022,17,9,2022-03-22,213904.33000000002,41266.37,벤더 없는 거래 유형,7.150642,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=7.7),유사 거래 대비 금액 적정성 검토 필요
5000015270,2,EU01,2018,4,12,2018-04-28,19769638500.0,9884819250.0,벤더 거래,3.3091455,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=44.4),유사 거래 대비 금액 적정성 검토 필요
5000015901,2,EU01,2018,4,12,2018-06-18,20558393100.0,10279196550.0,벤더 거래,3.1168444,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=46.2),유사 거래 대비 금액 적정성 검토 필요
5000015895,2,EU01,2018,4,12,2018-06-19,19841995800.0,9920997900.0,벤더 거래,2.9243505,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=44.6),유사 거래 대비 금액 적정성 검토 필요
5000015260,2,EU01,2018,4,12,2018-04-24,18496537200.0,9248268600.0,벤더 거래,2.7337694,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=41.5),유사 거래 대비 금액 적정성 검토 필요
5000015899,2,EU01,2018,4,12,2018-07-27,18645971400.0,9322985700.0,벤더 거래,2.674871,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=41.9),유사 거래 대비 금액 적정성 검토 필요
5000015261,2,EU01,2018,4,12,2018-04-19,17911804500.0,8955902250.0,벤더 거래,2.6309304,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=40.2),유사 거래 대비 금액 적정성 검토 필요
5000015263,2,EU01,2018,4,12,2018-05-22,18051961500.0,9025980750.0,벤더 거래,2.6241465,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=40.5),유사 거래 대비 금액 적정성 검토 필요
4900000026,6,EU01,2022,4,11,2022-03-30,147367489850.0,44087806500.0,벤더 없는 거래 유형,2.599414,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=7.5),유사 거래 대비 금액 적정성 검토 필요
5000015900,2,EU01,2018,4,12,2018-06-04,17812266300.0,8906133150.0,벤더 거래,2.548758,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=40.0),유사 거래 대비 금액 적정성 검토 필요
90000411,12,C001,2022,21,9,2022-03-15,372552.7,60152.95,벤더 없는 거래 유형,2.4621706,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=15.6),유사 거래 대비 금액 적정성 검토 필요
5000015268,2,EU01,2018,4,12,2018-04-22,15018246900.0,7509123450.0,벤더 거래,2.4449022,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=33.7),유사 거래 대비 금액 적정성 검토 필요
5000015262,2,EU01,2018,4,12,2018-04-17,16635948300.0,8317974150.0,벤더 거래,2.3920445,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=37.4),유사 거래 대비 금액 적정성 검토 필요
5000015257,2,EU01,2018,4,12,2018-05-27,14927568300.0,7463784150.0,벤더 거래,2.3806388,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=33.5),유사 거래 대비 금액 적정성 검토 필요
5000015896,2,EU01,2018,4,12,2018-06-24,11517579900.0,5758789950.0,벤더 거래,2.2306414,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=25.9),유사 거래 대비 금액 적정성 검토 필요
90000388,13,C001,2022,21,9,2022-03-15,208731.9,28156.7,벤더 없는 거래 유형,2.2113984,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=6.4),유사 거래 대비 금액 적정성 검토 필요
5000015256,2,EU01,2018,4,12,2018-05-21,15167603700.0,7583801850.0,벤더 거래,2.1584697,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=34.1),유사 거래 대비 금액 적정성 검토 필요
5000015873,2,EU01,2018,4,12,2018-07-24,15772913100.0,7886456550.0,벤더 거래,2.1498075,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=35.4),유사 거래 대비 금액 적정성 검토 필요
90000406,12,C001,2022,21,9,2022-03-15,353354.98,56953.33,벤더 없는 거래 유형,2.1432521,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=14.7),유사 거래 대비 금액 적정성 검토 필요
5000015267,2,EU01,2018,4,12,2018-04-13,13367158200.0,6683579100.0,벤더 거래,2.107262,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=30.0),유사 거래 대비 금액 적정성 검토 필요
5000015266,2,EU01,2018,4,12,2018-05-23,14021183700.0,7010591850.0,벤더 거래,2.0921402,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=31.5),유사 거래 대비 금액 적정성 검토 필요
5000015897,2,EU01,2018,4,12,2018-06-15,14522604300.0,7261302150.0,벤더 거래,2.0657156,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=32.6),유사 거래 대비 금액 적정성 검토 필요
5000015258,2,EU01,2018,4,12,2018-05-25,12676382100.0,6338191050.0,벤더 거래,2.0179718,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=28.5),유사 거래 대비 금액 적정성 검토 필요
5000015885,2,EU01,2018,4,12,2018-07-17,14394100500.0,7197050250.0,벤더 거래,2.0116642,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=32.3),유사 거래 대비 금액 적정성 검토 필요
5000015872,2,EU01,2018,4,12,2018-07-17,13846163400.0,6923081700.0,벤더 거래,1.9903024,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=31.1),유사 거래 대비 금액 적정성 검토 필요
5000015264,2,EU01,2018,4,12,2018-05-25,11046155400.0,5523077700.0,벤더 거래,1.9640574,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=24.8),유사 거래 대비 금액 적정성 검토 필요
5000015265,2,EU01,2018,4,12,2018-05-29,10809005400.0,5404502700.0,벤더 거래,1.9594932,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=24.3),유사 거래 대비 금액 적정성 검토 필요
5000015269,2,EU01,2018,4,12,2018-05-04,9505334700.0,4752667350.0,벤더 거래,1.9537545,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=21.3),유사 거래 대비 금액 적정성 검토 필요
1400000034,4,C001,2022,1,3,2022-03-18,401119.52,100279.88,벤더 없는 거래 유형,1.9491622,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=6.6),유사 거래 대비 금액 적정성 검토 필요
